S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
1,2023-03-20,133,SCB,Standard Chartered Bank Limited,521.0000,521.0000,520.0000,,510,265600.0000,513.0000,555.0000,375.0000,2023-03-20T11:32:18.073328,520.0000,4,520.78,
2,2023-03-20,179,HEI,Himalayan Everest Insurance Limited,420.0000,420.0000,415.0000,,1500,627350.0000,412.3000,703.0000,345.0000,2023-03-20T11:35:07.280750,417.0000,6,418.23,
3,2023-03-20,358,LBBL,Lumbini Bikas Bank Ltd.,335.0000,335.0000,332.0000,,792,264120.0000,329.1000,503.0000,290.1000,2023-03-20T11:34:51.154844,332.0000,4,333.48,
4,2023-03-20,559,NLG,NLG Insurance Company Ltd.,649.1000,684.0000,649.0000,,1397,926223.0000,660.1000,928.0000,423.0000,2023-03-20T11:32:23.987254,675.0000,10,663.00,
5,2023-03-20,634,RBCLPO,Rastriya Beema Company Limited Promoter Share,11214.0000,11214.0000,11214.0000,,10,112140.0000,11442.3000,18588.0000,9663.0000,2023-03-20T11:12:08.313599,11214.0000,1,11214.00,
6,2023-03-20,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,196.0000,199.0000,195.0000,,5817,1153699.1000,196.0000,308.0000,159.8000,2023-03-20T11:35:09.372723,197.2000,31,198.33,
7,2023-03-20,2751,KKHC,Khanikhola Hydropower Co. Ltd.,249.9000,251.0000,249.9000,,897,224570.3000,247.0000,318.0000,163.8000,2023-03-20T11:32:38.335983,250.9000,4,250.35,
8,2023-03-20,2767,HPPL,Himalayan Power Partner Ltd.,305.8000,305.8000,298.0000,,410,125120.0000,300.5000,476.0000,217.6000,2023-03-20T11:25:41.105604,298.0000,4,305.17,
9,2023-03-20,2806,GHL,Ghalemdi Hydro Limited,274.0000,274.0000,267.0000,,5705,1542584.0000,271.0000,341.0000,164.2000,2023-03-20T11:31:22.005342,270.0000,27,270.39,
10,2023-03-20,2841,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,303.5000,307.0000,303.5000,,298,91085.4000,306.0000,391.6000,210.0000,2023-03-20T11:35:07.657153,306.2000,7,305.65,
11,2023-03-20,2896,SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,657.0000,657.0000,657.0000,,14,9198.0000,668.0000,1305.6000,650.0000,2023-03-20T11:13:55.789820,657.0000,1,657.00,
12,2023-03-20,4959,NBLD87,8.5% Nepal Bank Debenture 2087,732.0000,732.0000,732.0000,,25,18300.0000,742.0000,1020.0000,711.0000,2023-03-20T11:13:49.935698,732.0000,1,732.00,
13,2023-03-20,8076,HHL,Himalayan Hydropower Limited,299.0000,305.0000,299.0000,,281,84969.0000,304.9000,362.1000,202.0000,2023-03-20T11:33:33.916059,305.0000,25,302.38,
14,2023-03-20,141,LBL,Laxmi Bank Limited,182.0000,183.0000,180.0000,,432,78852.0000,180.0000,272.0000,179.6000,2023-03-20T11:21:23.846984,183.0000,6,182.52,
15,2023-03-20,149,OHL,Oriental Hotels Limited,544.0000,544.0000,544.0000,,500,272000.0000,536.0000,602.6000,413.8000,2023-03-20T11:07:54.753941,544.0000,1,544.00,
16,2023-03-20,180,UIC,United Insurance Co. (Nepal) Ltd.,431.0000,431.0000,430.0000,,1020,439600.0000,430.9000,725.0000,325.0000,2023-03-20T11:25:42.120791,430.0000,2,430.98,
17,2023-03-20,204,GUFL,Gurkhas Finance Ltd.,503.0000,519.1000,503.0000,,885,454326.0000,509.5000,715.0000,357.0000,2023-03-20T11:34:48.713357,514.0000,11,513.36,
18,2023-03-20,227,BFC,Best Finance Company Ltd.,331.5000,331.5000,330.0000,,315,104190.0000,326.0000,476.9000,292.5000,2023-03-20T11:28:06.671667,331.0000,3,330.76,
19,2023-03-20,686,BARUN,Barun Hydropower Co. Ltd.,260.0000,265.0000,260.0000,,1541,406365.7000,263.0000,541.6000,190.3000,2023-03-20T11:32:14.793646,263.1000,11,263.70,
20,2023-03-20,697,API,Api Power Company Ltd.,261.2000,262.2000,260.0000,,11640,3041509.8000,257.1000,510.0000,200.0000,2023-03-20T11:35:14.869307,261.0000,57,261.29,
21,2023-03-20,2744,GRDBL,Green Development Bank Ltd.,264.9000,265.0000,261.0000,,45,11884.0000,261.0000,363.9000,182.0000,2023-03-20T11:33:02.979547,265.0000,3,264.08,
22,2023-03-20,2759,SPDL,Synergy Power Development Ltd.,311.9000,314.0000,311.9000,,1000,313400.2000,308.4000,474.0000,234.0000,2023-03-20T11:28:02.972184,314.0000,11,313.40,
23,2023-03-20,2826,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,665.0000,665.0000,665.0000,,40,26600.0000,665.0000,1360.0000,664.0000,2023-03-20T11:19:19.695695,665.0000,2,665.00,
24,2023-03-20,2917,CGH,Chandragiri Hills Limited,1132.0000,1132.0000,1131.0000,,20,22630.0000,1148.0000,1487.0000,900.2000,2023-03-20T11:30:41.003815,1131.0000,2,1131.50,
25,2023-03-20,8066,RFPL,River Falls Power Limited,298.0000,303.0000,293.2000,,160,47591.0000,298.0000,325.0000,200.0000,2023-03-20T11:35:01.829556,297.0000,16,297.44,
26,2023-03-20,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,417.1000,425.0000,417.1000,,140,59007.0000,424.0000,481.0000,130.2000,2023-03-20T11:34:47.612760,425.0000,14,421.47,
27,2023-03-20,134,HBL,Himalayan Bank Limited,233.0000,240.0000,233.0000,,976,232334.6000,236.0000,398.7500,225.7000,2023-03-20T11:33:41.540600,235.3000,19,238.04,
28,2023-03-20,140,MBL,Machhapuchhre Bank Limited,227.0000,227.0000,225.1000,,431,97575.3000,224.0000,305.0000,199.0000,2023-03-20T11:33:48.598441,226.0000,6,226.39,
29,2023-03-20,145,SBL,Siddhartha Bank Limited,261.0000,262.0000,258.0000,,4407,1144097.0000,261.0000,414.8000,255.0000,2023-03-20T11:33:20.875019,259.1000,16,259.60,
30,2023-03-20,236,PFL,Pokhara Finance Ltd.,380.0000,387.0000,380.0000,,940,359035.9000,373.1000,534.0000,290.0000,2023-03-20T11:34:35.084487,384.0000,9,381.95,
31,2023-03-20,397,ADBL,Agricultural Development Bank Limited,258.2000,262.8000,258.2000,,2025,525898.2000,258.2000,405.9000,258.0000,2023-03-20T11:33:58.463336,259.9000,19,259.70,
32,2023-03-20,516,MFIL,Manjushree Finance Ltd.,448.0000,453.6000,448.0000,,2415,1089223.0000,444.8000,659.0000,362.0000,2023-03-20T11:35:00.738897,450.0000,12,451.02,
33,2023-03-20,545,SLBBL,Swarojgar Laghu Bitta Bikas Bank Ltd.,606.0000,609.0000,606.0000,,150,91200.0000,602.1000,1115.0000,600.1000,2023-03-20T11:34:54.088463,609.0000,2,608.00,
34,2023-03-20,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,751.0000,762.0000,751.0000,,200,151630.0000,750.0000,1254.0000,740.1000,2023-03-20T11:31:27.532400,762.0000,6,758.15,
35,2023-03-20,2786,PMHPL,Panchakanya Mai Hydropower Ltd,250.0000,250.0000,250.0000,,200,50000.0000,247.9000,349.8000,168.0000,2023-03-20T11:19:22.942737,250.0000,1,250.00,
36,2023-03-20,2887,NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,560.0000,576.0000,560.0000,,77,43780.0000,568.9000,1100.0000,560.3000,2023-03-20T11:25:31.845342,570.0000,3,568.57,
37,2023-03-20,2913,MEN,Mountain Energy Nepal Limited,750.0000,759.0000,750.0000,,50,37680.0000,758.0000,1135.0000,692.0000,2023-03-20T11:28:02.213024,759.0000,5,753.60,
